date,vendor,category,amount,notes
2024-03-15,Starbucks,Meals,12.50,coffee for team meeting
2024-03-16,Office Depot,Office Supplies,45.00,printer paper and pens
2024-03-16,Uber,Transportation,9.50,ride to airport
2024-03-18,Delta Airlines,Travel,350.00,flight to conference
2024-03-19,Marriott Hotel,Lodging,210.00,"2 nights, conference hotel"
2024-03-20,Amazon,Office Supplies,23.99,batteries and cables
2024-03-21,FedEx,Shipping,15.00,overnight package
2024-03-22,Costco,Office Supplies,89.10,bulk paper towels
2024-03-22,Shell Gas,Transportation,40.00,gas for rental car
2024-03-24,Home Depot,Miscellaneous,67.45,supplies for office repair
2024-03-25,Best Buy,Equipment,199.99,replacement mouse and keyboard
2024-03-25,Walgreens,Miscellaneous,8.00,first aid supplies
2024-03-27,Panera Bread,Meals,18.75,lunch with client
2024-03-28,Hilton,Lodging,175.00,one night stay
2024-03-28,Southwest Airlines,Travel,410.00,flight change fee
2024-03-30,Verizon,Utilities,85.00,monthly phone bill
2024-03-31,AT&T,Utilities,92.50,internet service
2024-04-01,Chevron,Transportation,38.00,fuel
2024-04-02,Target,Office Supplies,54.20,misc office items
2024-04-03,Trader Joe's,Meals,22.00,snacks for office
