Date,VENDOR,Category,amount,Notes
03/15/2024,Starbucks  ,Meals,$12.50,coffee for team meeting
2024-03-16,Office Depot ,Office Supplies,USD 45,printer paper and pens
16-Mar-2024,Uber ,Transportation,9.5 dollars,ride to airport

03/18/2024,Delta Airlines ,Travel,$350.00,flight to conference
2024-03-19,Marriott Hotel ,Lodging,USD 210,"2 nights, conference hotel"
20-Mar-2024,Amazon ,Office Supplies,$23.99,batteries and cables
03/15/2024,Starbucks  ,Meals,$12.50,coffee for team meeting
03/21/2024,FedEx ,Shipping,15 USD,overnight package
2024-03-22,Costco ,Office Supplies,$89.10,bulk paper towels
22-Mar-2024,Shell Gas ,Transportation,$40,gas for rental car

03/24/2024,Home Depot ,Miscellaneous,USD 67.45,supplies for office repair
2024-03-25,Best Buy ,Equipment,$199.99,replacement mouse and keyboard
25-Mar-2024,Walgreens ,Miscellaneous,8 dollars,first aid supplies
2024-03-19,Marriott Hotel ,Lodging,USD 210,"2 nights, conference hotel"
03/27/2024,Panera Bread ,Meals,$18.75,lunch with client
2024-03-28,Hilton ,Lodging,USD 175,one night stay
28-Mar-2024,Southwest Airlines ,Travel,$410.00,flight change fee
03/30/2024,Verizon ,Utilities,85 dollars,monthly phone bill
2024-03-31,AT&T ,Utilities,$92.50,internet service
25-Mar-2024,Walgreens ,Miscellaneous,8 dollars,first aid supplies
01-Apr-2024,Chevron ,Transportation,USD 38,fuel
04/02/2024,Target ,Office Supplies,$54.20,misc office items
2024-04-03,Trader Joe's ,Meals,22 dollars,snacks for office
