date,description,amount,type
2026-07-02,DONATION BATCH DEP 0702 (14 gifts),1320.00,credit
2026-07-03,CEDAR & STONE GROUNDS MGMT ACH,-3494.48,debit
2026-07-05,NORTHSIDE PLOW LLC CHECK 2287,-1250.00,debit
2026-07-08,STRIPE PAYOUT ST-0708 (net of fees),1842.15,credit
2026-07-09,CITY UTILITIES AUTOPAY,-2118.40,debit
2026-07-11,HOME DEPOT #4412 STORE PURCHASE,-642.19,debit
2026-07-12,ACH CREDIT HARTWELL FOUNDATION,10000.00,credit
2026-07-15,PAYROLL ACH RUN 07-15,-8940.00,debit
2026-07-17,CHECK 2291,-487.60,debit
2026-07-19,GALA DEPOSIT 0719,2450.00,credit
2026-07-22,PRINTWORKS INV 88214,-512.75,debit
2026-07-24,DONATION - ROOF FUND (donor letter attached),900.00,credit
2026-07-26,RESIDENT ASSISTANCE DISBURSEMENT,-1195.45,debit
2026-07-29,QUICKBOOKS ONLINE SUBSCRIPTION,-90.00,debit
